1995;71,800
1996;74,100
1997;75,900
1998;76,900
1999;77,500
2000;78,500
2001;79,400
2002;80,400
2003;81,300
2004;82
2005;82,800
2006;83,700
2007;84,600
2008;85,700
2009;86,600
2010;87,600
2011;88,700
2012;89,700
2013;90,900
2014;92,300
2015;93,500
2016;94,600
2017;95,800
2018;97,200
2019;98,600
2020;100
2021;101,400
2022;103,100
2023;105,200
